E,J,A
s,s,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,x,x
ok,ok,ok
ok,ok,ok
ok,ok,ok
x,ok,ok
ok,ok,ok
ok,x,x
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
s,s,s
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
