E,J,A
18,15,18
18,18,16
18,18,18
18,18,18
9,13,11
18,18,18
18,18,18
18,16,16
18,18,18
16,16,15
15,15,18
18,18,18
18,18,18
18,18,18
18,18,18
18,18,13
18,18,18
18,18,12
18,14,11
9,16,18
18,18,18
18,18,16
16,16,18
18,18,18
18,18,11
18,18,18
18,18,18
18,18,16
18,18,18
18,18,15
