E,J,A
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,s,s
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
