E,J,A
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
s,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
x,x,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,x
ok,ok,ok
ok,ok,s
ok,s,ok
x,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
