E,J,A
x,x,x
xgp,xgp,xgp
ok,ok,ok
s,s,ok
ok,ok,ok
ok,ok,ok
xgp,xgp,xgp
ok,ok,ok
ok,ok,ok
s,s,s
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,xgp,xgp
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,xgp
s,ok,ok
x,ok,ok
ok,ok,ok
ok,ok,ok
s,s,s
ok,ok,ok
s,s,s
ok,ok,ok
s,s,xgp
ok,ok,ok
ok,ok,ok
s,s,s
