E,J,A
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
s,ok,s
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,s
ok,ok,s
x,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,s
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
ok,ok,ok
