E,J,A
13,13,15
16,16,16
18,18,18
16,16,18
18,18,18
18,18,18
16,16,16
18,18,18
18,18,18
16,16,16
18,18,18
18,15,15
18,18,18
18,16,16
18,18,18
15,18,18
18,18,18
18,15,13
16,18,18
15,18,18
18,18,18
18,18,18
16,16,16
18,18,18
16,14,14
16,16,16
14,16,16
18,18,18
18,18,18
16,16,16
